Metric,ExecID,ReqID,Value
LatencyTime,1,90,2379315
ServiceTime,1,90,1936847
LatencyTime,1,91,2359295
ServiceTime,1,91,1929360
LatencyTime,1,92,2226165
ServiceTime,1,92,2056388
LatencyTime,1,93,2248774
ServiceTime,1,93,1889953
LatencyTime,1,94,2194750
ServiceTime,1,94,1767517
LatencyTime,1,95,2268068
ServiceTime,1,95,1770304
LatencyTime,1,96,2861605
ServiceTime,1,96,2574255
LatencyTime,1,97,2154078
ServiceTime,1,97,1985070
LatencyTime,1,98,2239801
ServiceTime,1,98,1769483
LatencyTime,1,99,2167981
ServiceTime,1,99,1773344
LatencyTime,1,100,2057713
ServiceTime,1,100,1897055
LatencyTime,1,101,2157272
ServiceTime,1,101,1780378
LatencyTime,1,102,2230059
ServiceTime,1,102,1799104
LatencyTime,1,103,2414741
ServiceTime,1,103,2262528
LatencyTime,1,104,2155043
ServiceTime,1,104,1771911
LatencyTime,1,105,2275510
ServiceTime,1,105,1915121
LatencyTime,1,106,2342603
ServiceTime,1,106,1946177
LatencyTime,1,107,2191577
ServiceTime,1,107,2074665
LatencyTime,1,108,2252726
ServiceTime,1,108,1890296
LatencyTime,1,109,3488184
ServiceTime,1,109,3172821
LatencyTime,1,110,2297397
ServiceTime,1,110,2082799
LatencyTime,1,111,2530462
ServiceTime,1,111,2096440
LatencyTime,1,112,2044870
ServiceTime,1,112,1705166
LatencyTime,1,113,2260226
ServiceTime,1,113,2136814
LatencyTime,1,114,1898229
ServiceTime,1,114,1726715
LatencyTime,1,115,2248660
ServiceTime,1,115,2110949
LatencyTime,1,116,2208965
ServiceTime,1,116,1757442
LatencyTime,1,117,2170443
ServiceTime,1,117,1773207
LatencyTime,1,118,2562897
ServiceTime,1,118,2209666
LatencyTime,1,119,2133101
ServiceTime,1,119,1970881
LatencyTime,1,120,2242734
ServiceTime,1,120,1846828
LatencyTime,1,121,2203744
ServiceTime,1,121,1841362
LatencyTime,1,122,2159356
ServiceTime,1,122,1878419
LatencyTime,1,123,1917679
ServiceTime,1,123,1628663
LatencyTime,1,124,2486151
ServiceTime,1,124,2586982
LatencyTime,1,125,2089728
ServiceTime,1,125,1833374
LatencyTime,1,126,2010568
ServiceTime,1,126,1631502
LatencyTime,1,127,2054072
ServiceTime,1,127,1667617
LatencyTime,1,128,3562221
ServiceTime,1,128,3344454
LatencyTime,1,129,2200768
ServiceTime,1,129,2051971
LatencyTime,1,130,2428431
ServiceTime,1,130,1985459
LatencyTime,1,131,2213699
ServiceTime,1,131,1814178
LatencyTime,1,132,2192700
ServiceTime,1,132,1991781
LatencyTime,1,133,2199168
ServiceTime,1,133,1808197
LatencyTime,1,134,2137487
ServiceTime,1,134,1941622
LatencyTime,1,135,2480960
ServiceTime,1,135,2057702
LatencyTime,1,136,2222158
ServiceTime,1,136,1849604
LatencyTime,1,137,3234412
ServiceTime,1,137,2039349
LatencyTime,1,138,1963118
ServiceTime,1,138,1589668
LatencyTime,1,139,1928646
ServiceTime,1,139,1615059
LatencyTime,1,140,2181890
ServiceTime,1,140,1762796
LatencyTime,1,141,2206433
ServiceTime,1,141,1816486
LatencyTime,1,142,2491687
ServiceTime,1,142,2346303
LatencyTime,1,143,2037640
ServiceTime,1,143,1662236
LatencyTime,1,144,5660712
ServiceTime,1,144,5290456
LatencyTime,1,145,2049065
ServiceTime,1,145,1659406
LatencyTime,1,146,2217432
ServiceTime,1,146,2080436
LatencyTime,1,147,2366905
ServiceTime,1,147,1864934
LatencyTime,1,148,2157486
ServiceTime,1,148,1980935
LatencyTime,1,149,2215422
ServiceTime,1,149,1855492
LatencyTime,1,150,2309514
ServiceTime,1,150,1870774
LatencyTime,1,151,2352349
ServiceTime,1,151,1944709
LatencyTime,1,152,2311444
ServiceTime,1,152,2173091
LatencyTime,1,153,2341843
ServiceTime,1,153,1935132
LatencyTime,1,154,1865627
ServiceTime,1,154,1288720
LatencyTime,1,155,1489604
ServiceTime,1,155,1158344
LatencyTime,1,156,2297674
ServiceTime,1,156,1911821
LatencyTime,1,157,2255118
ServiceTime,1,157,2085049
LatencyTime,1,158,2972921
ServiceTime,1,158,2687821
LatencyTime,1,159,2373561
ServiceTime,1,159,1928926
LatencyTime,1,160,2191641
ServiceTime,1,160,2072111
LatencyTime,1,161,2286962
ServiceTime,1,161,1899637
LatencyTime,1,162,2480528
ServiceTime,1,162,2331495
LatencyTime,1,163,2351024
ServiceTime,1,163,1912271
LatencyTime,1,164,1536664
ServiceTime,1,164,1169502
LatencyTime,1,165,1498913
ServiceTime,1,165,1149986
LatencyTime,1,166,1442402
ServiceTime,1,166,1144580
LatencyTime,1,167,1380340
ServiceTime,1,167,1233046
LatencyTime,1,168,2493751
ServiceTime,1,168,2047642
LatencyTime,1,169,2179687
ServiceTime,1,169,1808141
LatencyTime,1,170,2345387
ServiceTime,1,170,1942365
LatencyTime,1,171,2143409
ServiceTime,1,171,1779667
LatencyTime,1,172,2180861
ServiceTime,1,172,1798442
LatencyTime,1,173,2215091
ServiceTime,1,173,1832757
LatencyTime,1,174,2122327
ServiceTime,1,174,1968829
LatencyTime,1,175,2356848
ServiceTime,1,175,2068555
LatencyTime,1,176,2028078
ServiceTime,1,176,1712151
LatencyTime,1,177,2357809
ServiceTime,1,177,2166089
LatencyTime,1,178,2048876
ServiceTime,1,178,1710084
LatencyTime,1,179,2104650
ServiceTime,1,179,1701527
LatencyTime,1,180,2111148
ServiceTime,1,180,1711074
LatencyTime,1,181,2131381
ServiceTime,1,181,1966560
LatencyTime,1,182,2052424
ServiceTime,1,182,1890254
LatencyTime,1,183,2724905
ServiceTime,1,183,2420696
LatencyTime,1,184,2517044
ServiceTime,1,184,2221300
LatencyTime,1,185,2090526
ServiceTime,1,185,1710945
LatencyTime,1,186,2220346
ServiceTime,1,186,1836945
LatencyTime,1,187,2206531
ServiceTime,1,187,1809456
LatencyTime,1,188,2331048
ServiceTime,1,188,1836468
LatencyTime,1,189,2231119
ServiceTime,1,189,1816911
LatencyTime,1,190,2292303
ServiceTime,1,190,1811230
LatencyTime,1,191,2206386
ServiceTime,1,191,1818978
LatencyTime,1,192,4161860
ServiceTime,1,192,3768827
LatencyTime,1,193,2332750
ServiceTime,1,193,1840411
LatencyTime,1,194,1912048
ServiceTime,1,194,1534325
LatencyTime,1,195,2566158
ServiceTime,1,195,2208221
LatencyTime,1,196,2340605
ServiceTime,1,196,2010278
LatencyTime,1,197,391284711
ServiceTime,1,197,390873629
LatencyTime,1,198,1912370
ServiceTime,1,198,1277792
LatencyTime,1,199,693654
ServiceTime,1,199,388357
ResolveSharedResourcesTime,1,0,0
ForkingTime,1,0,0
RestoreResourcesTime,1,0,0
SwitchRestoreContinueTime,1,0,20239000
MainEntry,2,0,6782777334108792
MainExit,2,0,6782777344972964
Ready2Serve,2,0,6782778558807790
RuntimeReadyTime,2,0,25619450
ServiceTime,2,0,6804334
LatencyTime,2,0,32423784
LatencyTime,2,1,6735323
ServiceTime,2,1,6448912
LatencyTime,2,2,9644107
ServiceTime,2,2,8988058
LatencyTime,2,3,7214746
ServiceTime,2,3,7244838
LatencyTime,2,4,8575711
ServiceTime,2,4,8103571
LatencyTime,2,5,6111161
ServiceTime,2,5,5653075
LatencyTime,2,6,8943605
ServiceTime,2,6,8421244
LatencyTime,2,7,27460355
ServiceTime,2,7,26756991
LatencyTime,2,8,13697014
ServiceTime,2,8,13178328
LatencyTime,2,9,1704017
ServiceTime,2,9,1281679
LatencyTime,2,10,1791623
ServiceTime,2,10,1396385
LatencyTime,2,11,2594913
ServiceTime,2,11,2190560
LatencyTime,2,12,1941818
ServiceTime,2,12,1575065
LatencyTime,2,13,1589183
ServiceTime,2,13,1222435
LatencyTime,2,14,1620977
ServiceTime,2,14,1386801
LatencyTime,2,15,1569245
ServiceTime,2,15,1205752
LatencyTime,2,16,1737613
ServiceTime,2,16,1355853
LatencyTime,2,17,1754740
ServiceTime,2,17,1329385
LatencyTime,2,18,1619632
ServiceTime,2,18,1214972
LatencyTime,2,19,1545909
ServiceTime,2,19,1195828
LatencyTime,2,20,1647276
ServiceTime,2,20,1203319
LatencyTime,2,21,1613940
ServiceTime,2,21,1208882
LatencyTime,2,22,1782376
ServiceTime,2,22,1396374
LatencyTime,2,23,1621979
ServiceTime,2,23,1213275
LatencyTime,2,24,1679625
ServiceTime,2,24,1229792
LatencyTime,2,25,1671348
ServiceTime,2,25,1190202
LatencyTime,2,26,1611039
ServiceTime,2,26,1206161
LatencyTime,2,27,1589322
ServiceTime,2,27,1196909
LatencyTime,2,28,1727241
ServiceTime,2,28,1311924
LatencyTime,2,29,1590730
ServiceTime,2,29,1182908
LatencyTime,2,30,1764647
ServiceTime,2,30,1239581
LatencyTime,2,31,1584392
ServiceTime,2,31,1206692
LatencyTime,2,32,1612100
ServiceTime,2,32,1214742
LatencyTime,2,33,1576628
ServiceTime,2,33,1209381
LatencyTime,2,34,1496690
ServiceTime,2,34,1151224
LatencyTime,2,35,1371388
ServiceTime,2,35,1013480
LatencyTime,2,36,2295951
ServiceTime,2,36,1732371
LatencyTime,2,37,2070556
ServiceTime,2,37,1629890
LatencyTime,2,38,1923351
ServiceTime,2,38,1543820
LatencyTime,2,39,1820999
ServiceTime,2,39,1442018
LatencyTime,2,40,2449540
ServiceTime,2,40,2038508
LatencyTime,2,41,4022924
ServiceTime,2,41,3578864
LatencyTime,2,42,3506981
ServiceTime,2,42,2985658
LatencyTime,2,43,2432434
ServiceTime,2,43,1895974
LatencyTime,2,44,2649365
ServiceTime,2,44,2078801
LatencyTime,2,45,3298762
ServiceTime,2,45,2746966
LatencyTime,2,46,2597985
ServiceTime,2,46,1940935
LatencyTime,2,47,2707725
ServiceTime,2,47,1979668
LatencyTime,2,48,2744898
ServiceTime,2,48,2202667
LatencyTime,2,49,3548984
ServiceTime,2,49,3059068
LatencyTime,2,50,2698452
ServiceTime,2,50,2153978
LatencyTime,2,51,2321745
ServiceTime,2,51,1910674
LatencyTime,2,52,2387957
ServiceTime,2,52,1918405
LatencyTime,2,53,3383427
ServiceTime,2,53,2776168
LatencyTime,2,54,2316642
ServiceTime,2,54,1794099
LatencyTime,2,55,2559727
ServiceTime,2,55,2066451
LatencyTime,2,56,1901574
ServiceTime,2,56,1517916
LatencyTime,2,57,1799187
ServiceTime,2,57,1412070
LatencyTime,2,58,2287854
ServiceTime,2,58,1730353
LatencyTime,2,59,2117168
ServiceTime,2,59,1695058
LatencyTime,2,60,2270476
ServiceTime,2,60,1895859
LatencyTime,2,61,1812474
ServiceTime,2,61,1453004
LatencyTime,2,62,1603966
ServiceTime,2,62,1242922
LatencyTime,2,63,2122635
ServiceTime,2,63,1676117
LatencyTime,2,64,2440379
ServiceTime,2,64,1879370
LatencyTime,2,65,2517059
ServiceTime,2,65,2038180
LatencyTime,2,66,1848600
ServiceTime,2,66,1466508
LatencyTime,2,67,2406516
ServiceTime,2,67,1999412
LatencyTime,2,68,2131390
ServiceTime,2,68,1748117
LatencyTime,2,69,2029027
ServiceTime,2,69,1655251
LatencyTime,2,70,2043379
ServiceTime,2,70,1665262
LatencyTime,2,71,1868088
ServiceTime,2,71,1555399
LatencyTime,2,72,2228671
ServiceTime,2,72,1761074
LatencyTime,2,73,3144957
ServiceTime,2,73,2753660
LatencyTime,2,74,2654083
ServiceTime,2,74,2098170
LatencyTime,2,75,2700383
ServiceTime,2,75,2077814
LatencyTime,2,76,5506224
ServiceTime,2,76,5130325
LatencyTime,2,77,1928873
ServiceTime,2,77,1355144
LatencyTime,2,78,1905274
ServiceTime,2,78,1480430
LatencyTime,2,79,1855192
ServiceTime,2,79,1406466
LatencyTime,2,80,3116785
ServiceTime,2,80,2641976
LatencyTime,2,81,2592797
ServiceTime,2,81,1886586
LatencyTime,2,82,2270674
ServiceTime,2,82,1873962
LatencyTime,2,83,2238363
ServiceTime,2,83,1933251
LatencyTime,2,84,3646389
ServiceTime,2,84,3175392
LatencyTime,2,85,1508730
ServiceTime,2,85,1100648
LatencyTime,2,86,1431780
ServiceTime,2,86,1088944
LatencyTime,2,87,1472934
ServiceTime,2,87,1114691
LatencyTime,2,88,1629869
ServiceTime,2,88,1241850
LatencyTime,2,89,1576948
ServiceTime,2,89,1176250
LatencyTime,2,90,1528180
ServiceTime,2,90,1175308
LatencyTime,2,91,1655168
ServiceTime,2,91,1180904
LatencyTime,2,92,1586582
ServiceTime,2,92,1179140
LatencyTime,2,93,1660100
ServiceTime,2,93,1182018
LatencyTime,2,94,1585449
ServiceTime,2,94,1180625
LatencyTime,2,95,1555967
ServiceTime,2,95,1180032
LatencyTime,2,96,1661523
ServiceTime,2,96,1208198
LatencyTime,2,97,1784617
ServiceTime,2,97,1282506
LatencyTime,2,98,1549494
ServiceTime,2,98,1175834
LatencyTime,2,99,2698065
ServiceTime,2,99,1989030
LatencyTime,2,100,2622765
ServiceTime,2,100,2030301
LatencyTime,2,101,2236689
ServiceTime,2,101,1837893
LatencyTime,2,102,2278450
ServiceTime,2,102,1854157
LatencyTime,2,103,4640871
ServiceTime,2,103,3997126
LatencyTime,2,104,1998994
ServiceTime,2,104,1617345
LatencyTime,2,105,2427596
ServiceTime,2,105,1947498
LatencyTime,2,106,2363634
ServiceTime,2,106,1901191
LatencyTime,2,107,2336315
ServiceTime,2,107,1927636
LatencyTime,2,108,2720727
ServiceTime,2,108,2332368
LatencyTime,2,109,2308623
ServiceTime,2,109,1899862
LatencyTime,2,110,2258411
ServiceTime,2,110,1917581
LatencyTime,2,111,2097744
ServiceTime,2,111,1682756
LatencyTime,2,112,2039790
ServiceTime,2,112,1596436
LatencyTime,2,113,2018927
ServiceTime,2,113,1585320
LatencyTime,2,114,1979039
ServiceTime,2,114,1576416
LatencyTime,2,115,2103127
ServiceTime,2,115,1675634
LatencyTime,2,116,2322464
ServiceTime,2,116,1908091
LatencyTime,2,117,2365531
ServiceTime,2,117,1925683
LatencyTime,2,118,2343973
ServiceTime,2,118,1919653
LatencyTime,2,119,2526670
ServiceTime,2,119,1974640
LatencyTime,2,120,2441167
ServiceTime,2,120,2007009
LatencyTime,2,121,2387541
ServiceTime,2,121,1947266
LatencyTime,2,122,2435747
ServiceTime,2,122,1945175
LatencyTime,2,123,3088800
ServiceTime,2,123,2629785
LatencyTime,2,124,2420784
ServiceTime,2,124,2276925
LatencyTime,2,125,2487945
ServiceTime,2,125,1962376
LatencyTime,2,126,2393394
ServiceTime,2,126,1970125
LatencyTime,2,127,2422869
ServiceTime,2,127,1945275
LatencyTime,2,128,2413566
ServiceTime,2,128,1931303
LatencyTime,2,129,2449568
ServiceTime,2,129,1981032
LatencyTime,2,130,2409482
ServiceTime,2,130,1953379
LatencyTime,2,131,2240596
ServiceTime,2,131,1817347
LatencyTime,2,132,2598141
ServiceTime,2,132,2150482
LatencyTime,2,133,2248692
ServiceTime,2,133,1825931
LatencyTime,2,134,2238831
ServiceTime,2,134,1829784
LatencyTime,2,135,2345878
ServiceTime,2,135,1943767
LatencyTime,2,136,2375799
ServiceTime,2,136,1946971
LatencyTime,2,137,2428292
ServiceTime,2,137,1953795
LatencyTime,2,138,2211715
ServiceTime,2,138,1847545
LatencyTime,2,139,2271383
ServiceTime,2,139,1857376
LatencyTime,2,140,1947417
ServiceTime,2,140,1535813
LatencyTime,2,141,1947907
ServiceTime,2,141,1539903
LatencyTime,2,142,2751984
ServiceTime,2,142,2277418
LatencyTime,2,143,2572434
ServiceTime,2,143,2131757
LatencyTime,2,144,2408515
ServiceTime,2,144,1965790
LatencyTime,2,145,3202393
ServiceTime,2,145,2840943
LatencyTime,2,146,2088514
ServiceTime,2,146,1647373
LatencyTime,2,147,2294953
ServiceTime,2,147,1828580
LatencyTime,2,148,2212156
ServiceTime,2,148,1805225
LatencyTime,2,149,2152530
ServiceTime,2,149,1776788
LatencyTime,2,150,2231189
ServiceTime,2,150,1795352
LatencyTime,2,151,2229518
ServiceTime,2,151,1831490
LatencyTime,2,152,2224123
ServiceTime,2,152,1778327
LatencyTime,2,153,2215335
ServiceTime,2,153,1776184
LatencyTime,2,154,2203692
ServiceTime,2,154,1784408
LatencyTime,2,155,4772358
ServiceTime,2,155,2413206
LatencyTime,2,156,1763890
ServiceTime,2,156,1282275
LatencyTime,2,157,1798217
ServiceTime,2,157,1274679
LatencyTime,2,158,1619337
ServiceTime,2,158,1203671
LatencyTime,2,159,1625687
ServiceTime,2,159,1199854
LatencyTime,2,160,1610180
ServiceTime,2,160,1199531
LatencyTime,2,161,1648879
ServiceTime,2,161,1204270
LatencyTime,2,162,1624414
ServiceTime,2,162,1204541
LatencyTime,2,163,1623661
ServiceTime,2,163,1201221
LatencyTime,2,164,2562463
ServiceTime,2,164,1955867
LatencyTime,2,165,4791962
ServiceTime,2,165,4335594
LatencyTime,2,166,2405234
ServiceTime,2,166,1928011
LatencyTime,2,167,2425013
ServiceTime,2,167,1953902
LatencyTime,2,168,2841479
ServiceTime,2,168,2334934
LatencyTime,2,169,2049548
ServiceTime,2,169,1407706
LatencyTime,2,170,1589853
ServiceTime,2,170,1196459
LatencyTime,2,171,1622616
ServiceTime,2,171,1192519
LatencyTime,2,172,2519984
ServiceTime,2,172,2124484
LatencyTime,2,173,1621416
ServiceTime,2,173,1199149
LatencyTime,2,174,1588405
ServiceTime,2,174,1195872
LatencyTime,2,175,1578508
ServiceTime,2,175,1188371
LatencyTime,2,176,1634639
ServiceTime,2,176,1196699
LatencyTime,2,177,1662202
ServiceTime,2,177,1201897
LatencyTime,2,178,1572907
ServiceTime,2,178,1196027
LatencyTime,2,179,1637867
ServiceTime,2,179,1200910
LatencyTime,2,180,1596595
ServiceTime,2,180,1193259
LatencyTime,2,181,1638430
ServiceTime,2,181,1196113
LatencyTime,2,182,1629927
ServiceTime,2,182,1195676
LatencyTime,2,183,2055663
ServiceTime,2,183,1645439
LatencyTime,2,184,1690993
ServiceTime,2,184,1195017
LatencyTime,2,185,1585425
ServiceTime,2,185,1197353
LatencyTime,2,186,1590342
ServiceTime,2,186,1171939
LatencyTime,2,187,1666054
ServiceTime,2,187,1250122
LatencyTime,2,188,1576885
ServiceTime,2,188,1190516
LatencyTime,2,189,1621950
ServiceTime,2,189,1201609
LatencyTime,2,190,1602100
ServiceTime,2,190,1182627
LatencyTime,2,191,1466228
ServiceTime,2,191,1028097
LatencyTime,2,192,1733855
ServiceTime,2,192,1391336
LatencyTime,2,193,1579243
ServiceTime,2,193,989367
LatencyTime,2,194,2550631
ServiceTime,2,194,1808443
LatencyTime,2,195,2478235
ServiceTime,2,195,2072692
